,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Delhi,Delhi,GPE,-0.21117021,0.65991604,en,43.80000000,4011371-1,1273294,X,28.65381000,77.22897000,ASIA,India,SAS
India,India,GPE,-0.08778692,0.65001931,en,41.90000000,,-1,,,,,,
U.S.,U.S.,GPE,-0.08638999,0.98458485,en,39.20000000,,-1,,,,,,
US,US,GPE,-0.17386819,0.90117111,en,34.40000000,,-1,,,,,,
Arctic,Arctic,LOC,-0.10688721,0.98126760,en,33.75000000,,-1,,,,,,
Ukraine,Ukraine,GPE,-0.07733761,0.81799445,en,25.80000000,4061496-7,690791,X,49.00000000,32.00000000,EUROPE,Ukraine,WCE
Kashmir,Kashmir,LOC,-0.13011024,1.06822952,en,22.60000000,,-1,,,,,,
Europe,Europe,LOC,-0.16915739,0.78913723,en,21.60000000,,-1,,,,,,
Florida,Florida,GPE,-0.14581022,0.77892730,en,20.90000000,4017585-6,4155751,X,28.75054000,-82.50010000,NORTH-AMERICA,United States,ENA
UK,UK,GPE,-0.18118301,0.93996741,en,17.40000000,,-1,,,,,,
Canada,Canada,GPE,-0.09543471,0.96626385,en,16.55000000,4029456-0,6251999,X,60.10866900,-113.64257900,NORTH-AMERICA,Canada,NWN
Earth,Earth,LOC,-0.06129604,0.95648096,en,16.50000000,,-1,,,,,,
Russia,Russia,GPE,0.02393445,0.67678474,en,14.80000000,,-1,,,,,,
Gaza,Gaza,GPE,-0.16246985,0.65976670,en,13.10000000,,-1,,,,,,
Kyiv,Kyiv,GPE,-0.11133190,0.50249972,en,12.20000000,4030522-3,703448,X,50.45472200,30.52388800,EUROPE,Ukraine,WCE
China,China,GPE,-0.04816514,0.65305810,en,10.90000000,4009937-4,1814991,X,35.00000000,105.00000000,ASIA,China,EAS
the United States,the United States,GPE,-0.06475931,1.32887851,en,10.80000000,,-1,,,,,,
Germany,Germany,GPE,0.21179245,0.73553459,en,10.60000000,,-1,,,,,,
Texas,Texas,GPE,0.23767943,0.74907344,en,9.50000000,4059594-8,4736286,X,31.25044000,-99.25060900,NORTH-AMERICA,United States,CNA
Chennai,Chennai,GPE,-0.03640110,0.57623626,en,9.10000000,5351481-6,1264527,X,13.08777700,80.27833300,ASIA,India,SAS
arctic,arctic,LOC,-0.22324469,0.70678292,en,8.90000000,,-1,,,,,,
Srinagar,Srinagar,GPE,-0.06273713,0.72178184,en,8.20000000,,-1,,,,,,
