,phrase,label,sentiment,subjectivity,language,count
IMD,IMD,ORG,-0.17076999389499406,0.605773046398047,en,51.99999999999994
Arc Raiders,Arc Raiders,ORG,-0.1620217725282381,0.8837338128825202,en,23.19999999999999
Trump,Trump,ORG,-0.4049849267872522,0.863102928509905,en,12.900000000000002
the IAB Transparency &amp,the IAB Transparency &amp,ORG,-0.16304347826086957,0.45652173913043476,en,11.5
The India Meteorological Department,The India Meteorological Department,ORG,-0.12503387533875338,0.30945121951219506,en,8.200000000000001
Cold Snap,Cold Snap,ORG,-0.5302374393283483,1.0299619572346845,en,7.700000000000001
The National Weather Service,The National Weather Service,ORG,-0.041440248348143076,0.4599025974025975,en,7.6
Arc Raiders',Arc Raiders',ORG,-0.16045805739514343,0.6642584788280151,en,7.550000000000001
AQI,AQI,ORG,-0.38248361998362,0.5999999999999999,en,7.4
the India Meteorological Department,the India Meteorological Department,ORG,-0.1387254901960784,0.410906862745098,en,6.8
Yukon,Yukon,ORG,-0.33561197916666663,0.8723958333333334,en,6.4
Big Tech,Big Tech,ORG,-0.014259259259259261,0.47956018518518523,en,5.999999999999999
The Independent,The Independent,ORG,-0.014259259259259261,0.47956018518518523,en,5.999999999999999
ARC Raiders,ARC Raiders,ORG,-0.13647932527242876,0.7214099119271533,en,5.8
Embark Studios,Embark Studios,ORG,-0.244297520661157,0.6468870523415978,en,5.5
Disney World,Disney World,ORG,-0.19090909090909092,0.643939393939394,en,5.499999999999999
Amazon,Amazon,ORG,0.22688943001443007,0.5763212481962483,en,4.799999999999999
Kanchanpur,Kanchanpur,ORG,-0.44347826086956527,0.7336956521739131,en,4.6
Stock Score,Stock Score,ORG,0.18333333333333335,0.52,en,4.5
ProtoThema,ProtoThema,ORG,-0.09324022014570794,0.3759854644000985,en,4.1000000000000005
NHS,NHS,ORG,-0.23863636363636362,0.9191287878787878,en,4.0
Cold,Cold,ORG,-0.02869674185463653,1.1653299916457807,en,3.8000000000000007
the National Weather Service,the National Weather Service,ORG,-0.3662280701754386,0.6951754385964913,en,3.7999999999999994
LNG,LNG,ORG,-0.006756756756756763,0.4954954954954956,en,3.6999999999999997
The District Administration Office,The District Administration Office,ORG,-0.3891891891891892,0.6418918918918919,en,3.6999999999999997
