,summary,Hazard,Mitigation,Adaptation,Causes,Impacts,word
summaryOfAllWords,17157.67289420564,8715.48096692429,498.19615292965057,417.0519520611919,4298.135883068466,3228.807939224448,
Characters,2.8152207333309023,-0.06354710970865338,0.07868792871910331,0.1370969421556412,0.03793676950066439,0.07983937253379057,Characters
Who,2.860162366886294,-0.06087891744274318,0.06285020563914263,0.12125921907568048,0.03759149299225525,0.07860168067095295,Who
character+s who,2.860162366886294,-0.06087891744274318,0.06285020563914263,0.12125921907568048,0.03759149299225525,0.07860168067095295,character+s who
Grew,2.8780958274054327,-0.05983650583241484,0.056599696059908076,0.115008709496446,0.03745459185271114,0.0781140611617196,Grew
who grew,2.8780958274054327,-0.05983650583241484,0.056599696059908076,0.115008709496446,0.03745459185271114,0.0781140611617196,who grew
Right,2.9018876785845737,-0.05847259743894489,0.04836715161464967,0.10677616505118777,0.03727373675772171,0.07747254509382459,Right
grew right,2.9018876785845737,-0.05847259743894489,0.04836715161464967,0.10677616505118777,0.03727373675772171,0.07747254509382459,grew right
Front,5.0519406751246905,0.01357624312273028,-0.5060438610718493,-0.44763484763531153,0.02592848555929998,0.03538954952220362,Front
right front,2.9491370190112742,-0.05582630876261319,0.03221600887165418,0.09062502230819208,0.03691714869845766,0.07621636540585514,right front
Our,4.101653017852998,-0.009212992051946355,-0.2976614670451032,-0.23925245360856529,0.02917877602934829,0.051213513880813424,Our
front our,3.0032612614466223,-0.05289256274127308,0.014029815132394392,0.0724388285689324,0.03651285510847243,0.07480566287409979,front our
Eyes,3.029986684156273,-0.05148070891518995,0.005170375654295122,0.06357938909083313,0.036314852942003324,0.07411986611684233,Eyes
our eyes,3.029986684156273,-0.05148070891518995,0.005170375654295122,0.06357938909083313,0.036314852942003324,0.07411986611684233,our eyes
Leaving,3.073757712074787,-0.04921870388535205,-0.009172223058822197,0.04923679037771587,0.03599286825469619,0.07301159645323296,Leaving
eyes leaving,3.073757712074787,-0.04921870388535205,-0.009172223058822197,0.04923679037771587,0.03599286825469619,0.07301159645323296,eyes leaving
Emotional,3.168333092831749,-0.04453334086414745,-0.03947701086634298,0.018932002570194936,0.035306799726283034,0.0706778475458302,Emotional
leaving emotional,3.168333092831749,-0.04453334086414745,-0.03947701086634298,0.018932002570194936,0.035306799726283034,0.0706778475458302,leaving emotional
All,5.8782463070344715,0.04322282242754897,-0.6575298698250225,-0.5991208563884847,0.003662575776376304,0.008418083545587101,All
emotional all,3.314324406924921,-0.03779606481676601,-0.0845252035539937,-0.02611619011745576,0.03427300052762067,0.0672283415470829,emotional all
Heck,3.3699830577231356,-0.03537170317548296,-0.10117911647175439,-0.04277010303521656,0.03388672800522991,0.06595894524036942,Heck
all heck,3.3699830577231356,-0.03537170317548296,-0.10117911647175439,-0.04277010303521656,0.03388672800522991,0.06595894524036942,all heck
Ron,3.466845075297921,-0.03132594462259457,-0.12951637968521645,-0.07110736624867842,0.03322456886395538,0.06380618996789024,Ron
heck ron,3.466845075297921,-0.03132594462259457,-0.12951637968521645,-0.07110736624867842,0.03322456886395538,0.06380618996789024,heck ron
Swanson,3.5428079540426265,-0.028297144211759384,-0.15119101958163947,-0.09278200614510154,0.03271403379386717,0.062165630537839286,Swanson
ron swanson,3.5428079540426265,-0.028297144211759384,-0.15119101958163947,-0.09278200614510154,0.03271403379386717,0.062165630537839286,ron swanson
from,20.429743470636712,0.1014791605507727,-0.3884656865209314,-1.844854238312797,-0.0355488314244552,-0.08707466556849859,from
swanson from,3.7340067262490724,-0.02117933424418522,-0.20375324597207733,-0.14534423253553952,0.03146192052816902,0.05820866188884691,swanson from
Parks,3.893054919143814,-0.01574961369319097,-0.24546557518307102,-0.18705656174653315,0.030454788152061655,0.05508986800719211,Parks
from parks,3.893054919143814,-0.01574961369319097,-0.24546557518307102,-0.18705656174653315,0.030454788152061655,0.05508986800719211,from parks
Rec,4.263204688797618,-0.004550537566576222,-0.3362925513323649,-0.2778835378958271,0.028223772975134336,0.048363186134014545,Rec
parks rec,4.263204688797618,-0.004550537566576222,-0.3362925513323649,-0.2778835378958271,0.028223772975134336,0.048363186134014545,parks rec
once,4.5471006743817775,0.002916825618395886,-0.40076121493585587,-0.342352201499318,0.026611439500203816,0.04364145089759857,once
rec once,4.5471006743817775,0.002916825618395886,-0.40076121493585587,-0.342352201499318,0.026611439500203816,0.04364145089759857,rec once
had,5.109603061339154,0.015506962262439344,-0.5173931219018393,-0.4589841084653014,0.023642073782780833,0.03520953030123492,had
once hab+d,5.109603061339154,0.015506962262439344,-0.5173931219018393,-0.4589841084653014,0.023642073782780833,0.03520953030123492,once hab+d
